A44085201 파장화남2차
A41222302 행신서정마을주공2단지
A41222209 소만5단지행신삼신
A41222006 서정마을6단지
A41222206 행신소만3단지늘푸른
A41222214 행신소만7단지대명
A41271902 행신햇빛마을24단지
A41222008 서정마을9단지중흥에스클래스
A41222109 햇빛21단지대우코오롱아파트
A41222007 행신2차SK뷰
A10025669 서정마을12단지
A10025582 DMC 리슈빌더포레스트아파트
A10025441 DMC호반베르디움더포레4단지
A10025429 DMC호반베르디움 더포레2단지
A10025390 DMC하우스디NHF
A10025333 DMC해링턴플레이스NHF아파트
A10025416 DMC호반베르디움 더포레3단지
A10024517 향동마을 4단지
A10024957 DMC 중흥S-클래스 더센트럴 아파트
A10024601 LH A3 아파트
A10025150 고양향동LH1단지
A41077305 위시티일산자이1단지
A41077303 일산자이주상복합
A41082001 식사은행마을2단지동문
A41077302 위시티일산자이2단지
A41077304 위시티블루밍5단지
A41077306 위시티블루밍3단지
A41082102 은행마을SKVIEW
A41077301 위시티일산자이4단지
A41077307 위시티휴먼빌
A10024545 일산자이2차아파트
A41072710 중산마을5단지
A41072714 중산마을11단지현대
A41072902 중산마을8단지대우삼성
A41182219 중산마을2단지코오롱아파트
A41031503 중산하늘마을주공4단지
A41072707 중산3단지일신건영
A41072709 중산마을6단지태영
A41031505 하늘마을주공1단지
A41031501 중산하늘마을주공3단지
A41072712 중산마을7단지코오롱
A41072713 산들마을1단지
A41072716 하늘마을6단지
A41072708 산들마을2단지대림
A41072711 중산9단지두산한성
A41031504 하늘마을5단지아파트
A41131214 일산중산마을10단지경남동신
A41072715 하늘마을2단지
A41072706 중산마을1단지두산
A10026296 중흥에스클래스타운아파트
A10026142 일산센트럴아이파크
A10025251 일산2차 아이파크
A41083602 양지마을4단지건영빌라
A41075901 밤가시건영7단지
A41038201 장항양지마을3단지건영빌라
A41082801 정발산밤가시마을4단지건영빌라
A41083603 장항양지마을5단지건영
A10028078 양지마을1단지
A41083708 장항호수5단지청구
A41083709 호수3단지유원삼환
A41083705 장항호수마을4단지롯데럭키
A41083704 장항호수마을1단지대우
A41083710 장항호수마을2단지현대
A10025300 킨텍스 원시티 아파트
A10025086 킨텍스원시티1블럭
A10025275 힐스테이트 킨텍스 레이크뷰
A10025087 킨텍스원시티 3블럭
A10025082 킨텍스원시티 2블럭
A41081105 마두강촌마을1단지동아
A41081007 마두백마마을5단지쌍용한성
A41081104 마두강촌마을7단지선경코오롱
A41081101 마두강촌마을6단지한양
A41081102 강촌마을3단지
A41081003 마두백마마을4단지한양청구
A41081002 마두백마마을6단지벽산
A41070906 마두백마마을3단지금호한양
A41081107 마두강촌마을5단지라이프1차
A41081005 마두백마마을2단지극동삼환
A41081103 마두강촌마을2단지한신
A41081108 마두강촌마을5단지라이프2차
A41081004 마두백마마을1단지삼성
A41081201  건영정발4단지
A41081106 마두강촌마을8단지우방
A41036014 백석백송마을5단지삼호풍림
A41036007 백송3단지 우성아파트
A41036004 백석백송마을1단지삼부
A41036011 백석백송마을8단지선경코오롱
A41036016 백석백송마을2단지대림
A41036001 백송마을10단지건영
A41036008 백송3단지한신아파트
A41036010 백석백송마을9단지두산
A41036003 흰돌라이프타운(백석 흰돌 6단지)
A41036017 백석흰돌마을4단지주공
A41036009 백석백송마을6단지대우벽산
A41036015 백석흰돌마을3단지국제한진
A41036013 흰돌마을5단지서안
A41036006 백석흰돌마을1단지금호
A41036005 백석흰돌마을2단지청구
A41036012 백석백송마을7단지임광
A10027517 일산와이시티
A41084301 풍동에이스12차
A41078304 에버나인
A41078303 풍동숲속마을8단지
A41084312 풍동성원1차2차
A41084211 풍동은행마을1단지동문
A41033007 풍동숲속마을9단지성원상떼빌
A41078301 풍동숲속마을1단지
A41084202 풍동쌍용
A41033009 풍동숲속마을두산위브6단지
A41078305 풍동와이하우스
A41084303 풍동중앙하이츠빌1
A41033008 풍동숲속마을아이파크
A41033004 풍동5차성원쌍떼빌
A41078302 풍동주공7단지
A41033006 풍동숲속마을주공3단지
A41033014 풍동숲속마을4단지
A41033010 숲속마을2단지 아파트
A41084305 풍동성원3차
A41053001 사리현동3동문굿모닝힐
A41053002 사리현현대그린
A41053003 사리현동문굿모닝힐1단지2단지
A41057001 성석청원네이처빌
A41182704 일산후곡마을14단지청구
A41131303 일산후곡마을8단지동신
A41131307 후곡3현대아파트
A41182202 일산에이스9차
A41182606 일산동양
A41183919 일산동문1차
A41131317 일산후곡1112단지공무원아파트
A41131310 일산후곡6단지건영동부
A41183923 에이스10차아파트
A41182709 일산후곡마을2단지동양대창
A41131218 일산산들마을5단지동문
A41182708 일산후곡마을17단지태영
A41182702 일산후곡마을13단지태영
A41172607 일산2차휴먼빌
A41131001 일산메가시티2
A41131301 일산후곡마을5단지영풍한진
A41183910 일산삼성
A41131314 일산후곡마을7단지동성
A41131002 일산월드메르디앙
A41172608 일산태영
A41182605 일산동문(3)
A41172610 일산푸르지오
A41182503 일산3차현대홈타운
A41183906 탄현에이스11차
A41183901 탄현지구미주8차
A41182713 일산후곡마을18단지현대
A41182711 일산후곡마을4단지금호한양
A41131104 일산건영휴먼빌
A41131315 후곡LG롯데9단지아파트
A41182212 일산쌍용
A41182213 일산2차현대홈타운
A41182705 일산후곡마을1단지대우벽산
A41182716 일산후곡마을16단지동아코오롱
A41182706 후곡마을10단지아파트
A41131211 일산산들마을3단지대림아파트
A41172609 일산유진스웰2차
A41131207 일산산들마을6단지대교
A41183907 일산신원1,2차아파트
A41183917 일신삼익
A41183903 주은1
A41182204 일산1차현대홈타운
A41182712 일산후곡마을15단지건영
A41182502 일산5차동문
A41183816 문촌마을14단지세경
A41183819 문촌마을16단지뉴삼익
A41137112 주엽강선마을15단지보성
A41137101 주엽강선마을13단지뉴서울
A41137102 주엽강선마을12단지두진
A41137116 주엽강선마을7단지유원삼환
A41137114 주엽강선마을4단지동신
A41183811 문촌마을7단지주공
A41183815 문촌마을19단지신우아파트
A41137118 주엽강선마을8단지LG롯데
A41183801 문촌마을10단지동부
A41183803 문촌마을11단지LIG(건영)
A41137111 주엽강선마을6단지금호한양
A41183804 문촌마을12단지유승그린
A41137117 주엽강선마을9단지화성
A41137104 주엽강선마을11단지태영
A41173220 문촌마을15단지부영
A41137106 강선마을19단지우성아파트
A41183817 문촌마을8단지동아
A41183807 문촌마을9단지(분양)주공
A41137115 주엽강선마을14단지두산
A41137105 주엽강선마을16단지동문
A41183809 문촌마을17단지신안
A41137109 주엽강선마을5단지동부건영
A41137110 주엽강선마을3단지한신
A41183805 문촌마을2단지라이프
A41137221 문촌마을7단지(한국토지주택공사 임대아파트)
A41183808 문촌마을5단지쌍용한일
A41183806 문촌마을18단지대원
A41137113 주엽강선마을2단지경남
A41137103 주엽강선마을10단지한양
A41137107 주엽강선마을17단지동성
A41174822 문촌마을9단지 한국토지주택공사 임대아파트
A41183810 문촌마을3단지우성
A41183812 문촌마을4단지삼익
A41183802 문촌마을13단지대우유토피아
A41183818 문촌마을(우성)1
A41183814 문촌마을6단지쌍용기산
A41137108 주엽강선마을1단지대우벽산
A41184113 탄현마을9단지일신건영
A41184111 탄현마을2단지삼익
A41184109 탄현마을10단지동문
A41132018 탄현2지구11단지동신
A41178503 임광진흥
A41184002 탄현쌍용스윗닷홈
A41178502 탄현5단지건영
A41132005 탄현15단지효성
A41132026 탄현16단지풍림
A41184124 탄현마을7단지부영
A41178504 일산두산위브더제니스
A41132012 탄현삼환아파트(탄현마을 13단지)
A41132004 탄현14단지주은
A41184114 탄현마을3단지부영
A41184125 탄현마을6단지현대한신
A41184116 탄현마을1단지진로경남
A41132008 탄현12단지서광
A41184122 탄현마을8단지동성
A41184121 탄현1차건영아파트
A41183927 큰마을
A10025989 일산에듀포레푸르지오
A41175401 대화성저마을건영6단지
A41141019 대화마을일신건영휴먼빌아파트
A41180513 성저마을3단지풍림아파트
A41180304 대화성저마을9단지건영
A41180301 대화성저마을11단지건영
A41180305 대화성저건영7단지
A41170309 대화성저마을2단지세경
A41180515 대화성저마을1단지동익
A41180307 대화성저마을건영5단지
A41141016 대화마을 7단지 양우
A41180211 대화마을2단지한라
A41170702 대화장성4단지대명2차
A41141018 대화마을현대아이파크
A41180512 대화성저마을4단지삼익
A41170708 대화장성마을3단지
A41180206 대화마을1단지GS자이
A41175402 성저건영10단지
A41141017 대화마을3단지동문
A41180614 대화장성마을2단지대명
A41180510 대화장성마을1단지동부
A10025681 킨텍스 꿈에그린 아파트
A41180903 덕이동문3차
A41180902 덕이중앙하이츠빌2차
A41176701 일산아이파크5단지
A41180801 덕이동양라파크
A41180904 덕이동문2차
A41180905 덕이태영아파트
A41176702 일산아이파크1단지
A41180906 덕이동문1차
A41176705 일산파밀리에 2단지
A41176706 일산파밀리에3단지
A41176703 일산파밀리에4단지
A10024917 덕이철산아파트
A41176201 가좌마을7단지꿈에그린
A41144005 가좌대우푸르지오
A41144002 가좌청원벽산블루밍3단지
A41144004 가좌마을벽산블루밍6단지
A41144003 가좌벽산블루밍5단지
A41144001 가좌양우내안애
A10024885 센트레빌 아스테리움
A42780601 과천주공10단지
A42780602 과천래미안에코팰리스
A10024935 과천푸르지오써밋
A42703002 과천래미안슈르
A42780103 과천주공4단지
A42780002 과천주공5단지
A10025670 과천래미안센트럴스위트
A42780401 과천주공9단지
A42780403 과천주공8단지
A10027438 LH구리갈매1단지
A10027574 한라비발디아파트
A10026309 갈매역 아이파크
A10026703 갈매와이시티
A10027267 구리갈매2단지
A10026867 구리 갈매 스타힐스
A10026724 구리 갈매 푸르지오아파트
A10026043 갈매6단지
A10027511 갈매더샵나인힐스
A10024950 이룸넘버원리치안
A47173605 인창삼호
A47173513 삼환신일아파트
A47182906 인창금호어울림
A47101007 인창1차동문굿모닝힐
A47172702 일신건영2차
A47172715 인창건영
A47173918 인창아름마을원일
A47175516 인창현대홈타운
A47174523 인창주공6단지
A47175422 인창한진그랑빌
A47174108 인창아름마을일신건영1차
A47183301 인창e편한세상
A47175209 인창성원2차
A47174425 구리인창주공4단지
A47174610 인창아름마을엘지
A47185312 인창원일가대라곡
A47173421 인창삼보
A47174224 인창1단지주공아파트
A47101004 인창2차동문굿모닝힐
A47174320 인창주공2단지
A47173703 인창아름마을성원
A47177317 인창대림2차e편한세상
A47186114 인창동원베네스트
A47183319 인창아름마을래미안
A47175011 인창동양
A47172602 성림빌라
A10027730 구리 더샵 그린포레 2단지
A10026269 우방아파트
A10027731 구리 더샵 그린포레1단지
A10025318 인창공원 우림필유아파트
A10024681 e편한세상 인창어반포레
A47171712 교문한가람
A47102001 교문장자마을동양
A47102002 교문금호어울림
A47170902 구리동방
A47171806 교문한성1차
A47170708 교문우성한양
A47176305 교문장자마을신명
A47102207 구리교문(대우,동양고속)
A47171609 구리하나
A47186010 금호1차
A47171004 교문두산
A47170801 구리덕현
A47102003 아차산어울림아파트
A47171503 교문일성
A47103203 대림한숲
A47103002 수택성원상떼빌
A47175602 수택주공
A47103004 수택남양아이좋은집
A47182802 구리럭키
A47175801 수택엘지원앙
A47103006 구리토평주공
A47103001 하이스트빌아파트
A47103005 금호베스트빌2차아파트
A47103301 수택한성3차
A47181601 수택쌍용
A47103101 영풍마드레빌1차아파트
A47170401 수택금호어울림
A47103007 반석블레스
A10028044 구리태영데시앙아파트
A10027803 구리우림아파트
A10025060 e-편한세상 수택 센트럴파크 아파트
A47176404 토평검배마을SK신일
A47175703 토평상록
A47176805 토평한일
A47176601 토평우남
A47176102 토평삼성래미안
A47176007 유진스웰
A47176006 토평마을e편한세상아파트
A10026304 영풍마드레빌2차아파트
A47212008 라인그린
A47212017 호평주공23단지
A47279006 호평한화꿈에그린
A47212009 중흥s클래스로하스
A47278817 LH호평1단지
A47278416 호평중흥S클래스
A47278815 남양주호평6단지
A47278910 호평동원로얄듀크
A47278816 호평파라곤
A47279604 호평우미린
A47279712 한라비발디
A47278814 호평금강
A47295805 호평신명스카이뷰
A47278513 호평대주파크빌
A47279803 호평우림필유
A47212002 호평임광그대가
A47295415 호평현대아이파크
A47278711 효성백년가약아파트
A47295707 호평마을주공(624)
A47279101 호평쌍용스윗닷홈
A10027758 호평1차대명루첸아파트
A10026983 평내호평역 KCC스위첸 아파트
A47278818 호평두산위브파크
A10025354 호평오네뜨센트럴아파트
A47295318 평내마을주공
A47214014 평내신명스카이뷰
A47279904 평내마을중흥S클래스2단지
A47279917 평내중흥S클래스1단지
A47293511 평내효성
A47273713 평내대명
A47289903 평내우남퍼스트빌
A47287602 평내화성파크힐즈
A47287409 대주1차파크빌
A47287716 평내금호어울림
A47287508 유진마젤란21
A47273901 세종리젠시빌
A47287410 평내대주파크빌2차
A47287312 상록데시앙
A47279905 평내중흥S-클래스 3단지
A10024648 평내호평역 대명루첸포레스티움아파트
A47270505 금곡금강
A47280404 금곡미라보
A47270706 금곡GS
A47280903 금곡신도브래뉴
A47270608 금곡신성푸른솔
A47280002 금곡명지해드는터
A47280407 서울아파트
A47274215 별내별가람마을LH1-3
A47274205 별내KCC스위첸
A47274219 별내유승한내들이든힐즈
A47274218 별내모아미래도
A47274208 별내한화꿈에그린더스타
A47274203 별내신일유토빌
A47274212 별내리슈빌
A47274202 별내아이파크
A47274217 미리내마을LH4-4
A47274204 별내대원칸타빌
A47274209 별내신안인스빌
A47274201 별내쌍용예가
A47274216 별내별빛마을LH3단지
A47274210 별내우미린
A47274206 별내포스코더샵
A47274213 동익미라벨38단지
A47274211 동익미라벨39단지
A47274214 LH별가람마을1-4
A47274207 별내하우스토리
A10028068 별사랑마을2-7단지
A10028151 LH 별사랑마을 2-10단지
A10028140 별내 유승한내들 이노스타
A47274221 별내 별빛마을3-5단지
A47274220 LH별사랑마을2-2단지
A10027962 별사랑마을2-9단지
A10027943 별내아이파크2차아파트
A10026936 별사랑마을2-5단지
A10027148 LH 미리내마을4-2단지
A10025584 별가람마을 1-2단지 아파트
A10027230 별내 미리내마을4-3단지
A10027695 별내푸르지오
A10027059 별내효성해링턴코트
A10024788 위스테이별내
A10025142 별내우미린스타포레아파트
A47206005 가운휴먼시아1단지
A47206003 가운휴먼시아5단지
A47206001 가운휴먼시아3단지
A47206002 가운휴먼시아4단지
A47206006 가운휴먼시아2단지
A47271002 지금동한화꿈에그린
A10027754 힐스테이트 황금산아파트
A10026388 다산반도유보라메이플타운
A47270906 도농부영그린타운1단지
A47279207 도농부영그린타운2단지
A10025830 힐스테이트 다산
A10025828 다산펜테리움 리버테라스1차
A10025306 다산역 경기행복주택아파트
A47287901 동원베네스트
A47288803 다산센트레빌
A10026580 다산아이파크
A10025435 다산신안인스빌퍼스트리버
A47291001 도농한신
A47291003 도농롯데아파트
A10026598 다산 자연앤 이편한세상 
A10025474 다산 금강펜테리움 리버테라스2차아파트
A47279408 부영그린타운4,5단지
A10026600 다산 자연앤롯데캐슬아파트
A10026562 다산한양수자인리버팰리스
A47291304 남양i-좋은집아파트 1,2,3단지
A47291002 도농부영애시앙
A47288802 도농사랑으로7단지 부영아파트
A10025331 다산자연&e편한세상 3차아파트 
A10025596 반도유보라 메이플타운 2
A10026156 다산유승한내들골든뷰
A10026145 다산한양수자인리버파크
A10025393 다산자연앤e편한세상2차
A47279205 도농부영그린타운3단지
A47288801 효성해링턴타워도농아파트
A10026292 다산유승한내들센트럴아파트
A10025561 다산센트럴에일린의뜰아파트
A10026164 다산 e편한세상자이아파트
A10025066 다산 신안인스빌퍼스트포레
A47272813 덕소주공2차
A47290107 덕소강변한솔
A47290104 덕소 경남아너스빌
A47273009 덕소진도리버뷰
A47290101 벽산메가트리움
A47272914 덕소주공3차
A47290103 덕소세양청마루
A47272602 덕소신한토탈
A47272515 덕소강변삼익아파트
A47272716 덕소주공1단지
A47272421 덕소코오롱
A47290118 덕소동부센트레빌
A47273106 덕소강변현대홈타운
A47273117 덕소현대
A47290119 덕소아이파크
A47272422 덕소성일우리미
A47287811 쌍용스윗닷홈리버
A47273310 덕소벽산
A47290812 건영리버파크
A47273522 덕소한강우성
A47273605 강변해태아파트
A47273408 덕소쌍용
A47296220 덕소두산위브
A47289806 풍양마을길훈
A47276309 장현신우
A47276510 정광산호
A47276112 진접삼신
A47271413 남양주장현주공아파트
A47276204 장현신동아
A47294801 진접롯데캐슬아파트
A47286708 광릉숲금강펜테리움
A47294809 진접하우스토리
A47276401 원일에이플러스
A47294819 장현 휴먼시아3단지
A10025480 장현 행복주택2단지
A47276005 남양주대명아파트
A47289703 진접한신
A47289707 원일대궐터
A47294823 진접궁의문
A47276602 진접한일
A47294805 진접동부센트레빌시티1단지
A47294814 진접센트레빌시티2단지
A47294815 진접센트레빌시티3단지
A47286111 신창비바패밀리
A47294818 진접휴먼시아16단지
A47294820 진접휴먼시아24단지
A47294822 해밀마을자연앤어울림
A47294816 예당마을신안인스빌23단지
A47294813 해밀마을신안인스빌
A47294812 남양휴튼아파트
A47294810 진접 금강펜테리움 아파트
A47294806 진접신도브래뉴
A47294807 진접반도유보라메이플타운
A47294811 원일플로라
A47294821 진접부영사랑으로아파트
A47294817 진접휴먼시아17단지
A47294804 신영지웰아파트
A47288922 마석신명스카이뷰그린
A47297016 마석 중흥s클래스빌
A47278219 마석그랜드힐
A47276909 신마석서희스타힐스
A47296011 마석대림
A47288924 보미청광플러스원
A47276905 마석역신도브래뉴1차
A47278208 마석그랜드힐2차
A47276906 남양주마석
A10026494 마석 힐즈파크 푸르지오
A47284623 삼신17차푸른솔
A47278620 영진그린필
A47284627 경성큰마을1단지
A47284614 삼익파크힐스
A47276907 마석역신도브래뉴2차
A47289015 마석LIG아파트
A47284603 마석장미
A47276908 마석역신도브래뉴3차
A47284604 마석건영
A47276903 경성큰마을2단지
A10024625 남양주두산위브트레지움아파트
A47284106 신마석신도브래뉴
A10026386 화도 센트럴 우방아이유쉘
A10027838 월산부영2단지
A10027833 남양주 월산 사랑으로 부영1단지 아파트
A10027911 화도효성해링턴플레이스
A47284910 두산1단지
A47284805 대주피오레아파트
A47276904 이안남양주
A47284801 창현현대2차
A47284821 신한
A47277918 창현주공
A47289102 창현청구
A47284907 창현경향
A47289113 영남탑스빌
A47277726 창현신명
A47284825 창현두산아파트2단지
A10026869 남양주창현도뮤토아파트
A47284317 신창현두산위브
A47277209 삼신16차
A47289012 남양주녹촌두산위브아파트
A10025758 남양주 라온프라이빗2단지 
A10025756 남양주라온프라이빗4단지
A10025748 남양주 라온프라이빗1단지아파트
A10025773 남양주라온프라이빗2-1블럭(3단지)
A10025762 남양주 라온프라이빗5단지아파트
A47276902 신창현풍림아이원2차
A47276901 풍림아이원1차
A47283306 진건주공1차
A47278303 진건화성
A47276707 진건동성
A47271909 진건금강
A47283508 진건현대
A47271602 한신그린조합아파트
A47271601 한신그린4차
A47271605 한신그린3차
A47271710 진건세아아파트
A47271811 진건주공2단지아파트
A47271612 한신그린1
A47271604 한신그린2차
A47274919 오남양지극동
A47274922 오남양지e편한세상1단지
A47288113 오남양지청구
A47288210 오남현대
A47274920 양지e편한세상2단지아파트
A47288201 오남성호
A47288124 오남쌍용스윗닷홈 아파트(1단지, 2단지)
A47288208 오남양지
A47275007 오남양지삼신15차
A47288314 오남대한
A47289426 오남진주
A47275606 오남두산2차
A47275617 오남두산1차
A47288316 오남파라다이스빌
A47274921 오남푸르지오
A47289512 오남롯데아파트
A47275905 오남한신1차
A47294225 오남신일해피트리
A47275911 오남한신2차
A47275609 오남두산위브
A47281523 오남금호어울림
A47275704 오남성도
A47289302 오남신동아파밀리에
A47289203 오남일신건영휴먼빌
A47294322 오남신우아이딜1차
A47274923 오남아이파크
A47275818 오남1차한국
A47275515 오남동부
A47288321 신우아이딜2차
A47288420 오남유호N플러스빌
A47282404 극동
A47274705 신도브래뉴
A47274507 퇴계원성원
A47282502 엘리시아
A47274109 퇴계원쌍용예가
A47274112 퇴계원금호어울림
A47282203 퇴계원일신건영
A47282206 퇴계원3단지
A47274301 강남2차
A47274111 퇴계원4단지
A47282108 강남1차
A47274110 퇴계원쌍용
A47274113 퇴계원힐스테이트
A47296507 별내청학주공3단지
A47281104 별내동부일신
A47296606 별내청학주공4단지
A47296909 별내청학주공7단지
A47272102 별내수락산거성
A47296801 별내청학주공6단지
A47296408 별내청학주공2단지
A47296705 별내청학주공5단지
A47272303 별내청학주공1단지
A10027153 반도유보라
A44773302 운암대동
A44780409 운암주공4단지
A44773304 운암주공2단지
A44773303 대동다숲주상복합
A44773601 운암현대
A10025967 오산 센트럴푸르지오
A44771702 운암주공1단지
A44771901 오산운암3단지아파트
A10026708 오산시티자이2단지아파트
A10026716 오산시티자이1단지
A10025195 오산시티자이2차아파트
A44774311 원동푸르지오
A44774513 대림이편한세상1단지
A44774617 원동이편한세상2단지
A44774515 원동힐스테이트
A44774514 오산대원아파트
A44772703 한주
A44772116 운암주공5단지
A44771508 오산두산동아
A44774402 오산KS건영아느칸빌
A44773706 운암청구
A44773504 원동청구
A44774516 우경싸이트빌
A44780505 원동주공
A44771315 동부삼환
A44706019 운암주공6단지
A44772607 태영아파트
A44780401 오산신양
A10025478 오산 원동 한양수자인아파트
A10026822 오산원동미소지움아파트
A44770906 오산랜드마크원
A44770905 대우3차
A44774004 궐동우남퍼스트빌
A44773903 제일하이빌
A44714001 센트하임
A10025711 오산청학 행복주택
A44728009 세교휴먼시아꿈에그린11단지
A44728008 세교죽미마을휴튼9단지
A44728007 오산세교 죽미마을휴먼시아12단지
A44728005 금암마을 휴먼시아4단지
A44728006 금암마을휴먼시아데시앙6단지
A44728003 금암마을 휴먼시아 7단지
A44728002 금암마을휴먼시아5단지
A44728001 죽미마을 휴먼시아8단지
A44728004 금암마을휴먼시아3단지
A44722001 오산죽미마을휴먼시아10단지
A44773802 오산세교삼미마을19단지
A44729004 오산대우
A44729001 수청삼익아파트
A44774103 우미이노스빌아파트
A44773801 오산세교꿈에그린13단지
A44771202 수청주공
A10024737 더샵 오산 센트럴
A44772803 은계주공
A44730001 은계현대
A44730002 21리버빌
A44773803 오산세교삼미마을16단지
A10026524 오산세교자이아파트
A10027212 오산세교 호반베르디움아파트
A10026915 세교 쌍용예가 NHF 아파트
A10025374 서동탄역더샵파크시티
A44774203 세마e편한세상
A44774202 효성백년가약
A44774201 양산동늘푸른오스카빌아파트
A44724001 잔다리마을휴먼시아2단지임대
A44724002 잔다리마을1단지
A10026564 오산세교 LH행복주택
A10026366 e편한세상 오산세교 아파트
A44771102 신동아2차아파트
A44771001 신동아1차
A44773101 이림
A44773202 한라그린타운
A44773102 누읍휴먼시아1단지임대
A44770401 가수주공
A44770002 늘푸른오스카빌
A10025705 오산세교2 LH12단지
A44732001 고현아이파크
A44772902 청호엘리시아
A44772901 오산자이아파트
A44772903 오산청호휴먼시아1단지
A10025871 오산 청호LH2단지
A44731003 한솔솔파크
A44770605 오산우림
A44772302 우방힐타운아파트
A44773006 오산피오레
A44770701 화남
A44773004 동부2차
A44773005 오산KCC스위첸
A42990411 대야극동
A42987416 서강2차
A42980706 대야벽산1차
A42987409 대야청구1차
A42987403 서강1차아파트
A42987405 시흥은행동신
A42980712 대야영남1차
A42980702 대야우남한신
A42987413 대야청구2차
A42981308 대야늘푸른벽산
A42987415 대야우성2단지
A42987417 은행서해
A42990413 삼보아파트
A42990412 대야영남2차
A42987404 대야우성1단지
A10025179 시흥 은계 LH 2단지 아파트
A10025100 은계어반리더스아파트
A10024989 이편한세상시흥센텀하임
A10024845 시흥센트럴푸르지오아파트
A10024705 시흥 대야역 두산위브더파크 아파트
A42987706 신천뉴월드
A42982404 신천우남한신
A42972103 시흥삼환나우빌
A42902009 신천경남아너스빌
A42972101 시흥신천휴먼시아1단지
A42972102 시흥5차 푸르지오
A42972104 산호3차
A10024985 시흥신천코아루웰라움
A42987103 포동서강
A42987104 포동태산
A42982201 상아그린아파트
A42982204 해가든더클래식
A42983912 은행대우3차2단지
A42983809 은행신명스카이뷰
A42983601 삼성홈타운
A42983808 은행두산
A42983906 은행벽산3단지
A42987805 우남
A42983811 은행성원상떼빌
A42983604 은행녹원
A42987813 은행4차푸르지오
A42983602 은행풍림
A42983903 은행대우2차
A42983907 은행대우1차
A42983810 은행대우3차1단지
A42972601 예스라이프
A10025618 은계브리즈힐아파트
A10025955 시흥은계우미린더퍼스트
A10025522 시흥은계호반써밋플레이스
A10026569 은계센트럴타운
A10026125 네이처포레 아파트
A10025545 시흥은계LH7단지아파트
A10025841 시흥은계한양수자인더클래스아파트
A10024572 은계아란트리
A10024951 제일풍경채더숲
A42981701 매화금강2차
A42981805 매화마을홍익
A42981803 시흥금강1차
A42981401 도창에이스1차
A10025979 시흥은계우미린레이크아파트
A42924009 능곡자연앤
A42924016 능곡힐스테이트아파트
A42924013 능곡휴먼시아7단지
A42924018 시흥능곡우남퍼스트빌2차
A42924001 능곡엘드수목토
A42924008 능곡신일해피트리
A42924012 시흥능곡휴먼시아6단지
A42924002 우남퍼스트빌
A42924003 능곡신안인스빌
A42924015 능곡휴먼시아2단지
A42924010 능곡휴먼시아13단지
A42924017 시흥능곡현진에버빌
A42924011 능곡휴먼시아5단지
A42924014 능곡휴먼시아9단지
A10025396 시흥장현 리슈빌더스테이아파트
A10025402 시흥장현 LH4단지
A42925104 하중관곡마을동아
A42925103 하중관곡마을성원
A42925201 시흥데코빌
A42925205 하중연성참이슬
A42925202 하중샛말대우
A42979901 하상연꽃마을태평
A42979803 하상연꽃마을대우삼호
A42979702 연꽃마을금호타운
A10024884 시흥시청역동원로얄듀크아파트
A10025556 목감 호반베르디움 더숲 
A10025938 목감 중흥S-클래스 레이크힐스
A10025888 목감호수품애아파트
A10026559 목감레이크푸르지오
A42986901 시흥수정아파트
A42986903 조남삼호가든
A10027919 시흥목감LH퍼스트리움
A10027463 시흥 목감 LH 네이처하임 아파트
A10026151 목감가온수플아파트
A10026417 목감호반베르디움더클래스아파트
A10026579 시흥목감 신안인스빌아파트
A10026930 목감 리벤티움 아파트
A10026659 그레미움 
A10026492 시흥목감 호반베르디움 더레이크
A10027539 시흥목감LH7단지
A10027181 목감한신더휴 센트럴파크
A10026711 시흥목감LH13단지
A10027448 LH 포레하임아파트
A42980401 논곡산호
A10026605 논곡산호2차아파트
A10027145 목감한양수자인
A42982001 목감대명
A10027149 목감호반(1차)베르디움더프라임아파트
A42980007 거모동보
A42980101 거모아주3차
A42980106 거모유호
A42970003 거모녹원
A42988105 거모동원
A42980104 일우
A42980102 거모아주4단지2차
A42984401 장현유호앤플러스빌
A42973901 새재마을 청구아파트
A42984402 새재마을 대동아파트
A10024698 장현호반써밋아파트
A10024598 시흥 능곡 장현 리슈빌퍼스트클래스아파트
A10024727 시흥장현제일풍경채에듀
A10025301 네이처뷰아파트
A10024742 시흥 모아미래도에듀포레
A10024794 시흥장현 루벤시아2차
A42984207 숲속마을
A42984204 연성삼성
A42984202 동양덱스빌
A42973201 연성쉐르빌
A42984205 연성대우우성
A42984203 진말대우3차아파트
A42984206 진말마을삼환한진
A42984208 숲속마을벽산신화
A10024589 시흥장현LH17단지
A10024619 엘에이치 시흥장현19단지
A10024791 루벤시아1차
A42983403 월곶4차풍림아이원
A42983402 월곶3차풍림아이원
A42992702 월곶 알파시티
A42983401 월곶유호N플러스빌
A42983404 월곶2차풍림아이원
A42983405 월곶풍림1차아파트
A42992701 월곶2유호N플러스빌아파트
A10027701 월곶 노블리안시티
A10024860 부성파인하버뷰
A42978508 시화주공1단지
A42985502 영남아파트4단지
A42945003 시화모아
A42945008 시화청솔아파트
A42975511 시화송운마을건영2차
A42978613 시화주공3단지
A42978202 시화영남5차
A42976707 시화미주
A42945408 서해1아파트
A42974409 금강
A42986112 시화두산아파트
A42976306 시화동남
A42945006 시화세종1차
A42945001 시화서촌마을 건영4차아파트
A42977005 시화삼성아파트
A42985807 시화유천
A42945111 시화영남6단지
A42975705 시화계룡2차아파트
A42976115 시화대림2단지
